LSTAT,PTRATIO,RM,MEDV
4.98,15.3,6.575,504000.0
9.14,17.8,6.421,453600.0
4.03,17.8,7.185,728700.0
2.94,18.7,6.998,701400.0
5.33,18.7,7.147,760200.0
5.21,18.7,6.43,602700.0
12.43,15.2,6.012,480900.0
19.15,15.2,6.172,569100.0
29.93,15.2,5.631,346500.0
17.1,15.2,6.004,396900.0
20.45,15.2,6.377,315000.0
13.27,15.2,6.009,396900.0
15.71,15.2,5.889,455700.0
8.26,21.0,5.949,428400.0
10.26,21.0,6.096,382200.0
8.47,21.0,5.834,417900.0
6.58,21.0,5.935,485100.0
14.67,21.0,5.99,367500.0
11.69,21.0,5.456,424200.0
11.28,21.0,5.727,382200.0
21.02,21.0,5.57,285600.0
13.83,21.0,5.965,411600.0
18.72,21.0,6.142,319200.0
19.88,21.0,5.813,304500.0
16.3,21.0,5.924,327600.0
16.51,21.0,5.599,291900.0
14.81,21.0,5.813,348600.0
17.28,21.0,6.047,310800.0
12.8,21.0,6.495,386400.0
11.98,21.0,6.674,441000.0
22.6,21.0,5.713,266700.0
13.04,21.0,6.072,304500.0
27.71,21.0,5.95,277200.0
18.35,21.0,5.701,275100.0
20.34,21.0,6.096,283500.0
9.68,19.2,5.933,396900.0
11.41,19.2,5.841,420000.0
8.77,19.2,5.85,441000.0
10.13,19.2,5.966,518700.0
4.32,18.3,6.595,646800.0
1.98,18.3,7.024,732900.0
4.84,17.9,6.77,558600.0
5.81,17.9,6.169,531300.0
7.44,17.9,6.211,518700.0
9.55,17.9,6.069,445200.0
10.21,17.9,5.682,405300.0
14.15,17.9,5.786,420000.0
18.8,17.9,6.03,348600.0
30.81,17.9,5.399,302400.0
16.2,17.9,5.602,407400.0
13.45,16.8,5.963,413700.0
9.43,16.8,6.115,430500.0
5.28,16.8,6.511,525000.0
8.43,16.8,5.998,491400.0
14.8,21.1,5.888,396900.0
4.81,17.9,7.249,743400.0
5.77,17.3,6.383,518700.0
3.95,15.1,6.816,663600.0
6.86,19.7,6.145,489300.0
9.22,19.7,5.927,411600.0
13.15,19.7,5.741,392700.0
14.44,19.7,5.966,336000.0
6.73,19.7,6.456,466200.0
9.5,19.7,6.762,525000.0
8.05,18.6,7.104,693000.0
4.67,16.1,6.29,493500.0
10.24,16.1,5.787,407400.0
8.1,18.9,5.878,462000.0
13.09,18.9,5.594,365400.0
8.79,18.9,5.885,438900.0
6.72,19.2,6.417,508200.0
9.88,19.2,5.961,455700.0
5.52,19.2,6.065,478800.0
7.54,19.2,6.245,491400.0
6.78,18.7,6.273,506100.0
8.94,18.7,6.286,449400.0
11.97,18.7,6.279,420000.0
10.27,18.7,6.14,436800.0
12.34,18.7,6.232,445200.0
9.1,18.7,5.874,426300.0
5.29,19.0,6.727,588000.0
7.22,19.0,6.619,501900.0
6.72,19.0,6.302,520800.0
7.51,19.0,6.167,480900.0
9.62,18.5,6.389,501900.0
6.53,18.5,6.63,558600.0
12.86,18.5,6.015,472500.0
8.44,18.5,6.121,466200.0
5.5,17.8,7.007,495600.0
5.7,17.8,7.079,602700.0
8.81,17.8,6.417,474600.0
8.2,17.8,6.405,462000.0
8.16,18.2,6.442,480900.0
6.21,18.2,6.211,525000.0
10.59,18.2,6.249,432600.0
6.65,18.0,6.625,596400.0
11.34,18.0,6.163,449400.0
4.21,18.0,8.069,812700.0
3.57,18.0,7.82,919800.0
6.19,18.0,7.416,697200.0
9.42,20.9,6.727,577500.0
7.67,20.9,6.781,556500.0
10.63,20.9,6.405,390600.0
13.44,20.9,6.137,405300.0
12.33,20.9,6.167,422100.0
16.47,20.9,5.851,409500.0
18.66,20.9,5.836,409500.0
14.09,20.9,6.127,428400.0
12.27,20.9,6.474,415800.0
15.55,20.9,6.229,407400.0
13.0,20.9,6.195,455700.0
10.16,17.8,6.715,478800.0
16.21,17.8,5.913,394800.0
17.09,17.8,6.092,392700.0
10.45,17.8,6.254,388500.0
15.76,17.8,5.928,384300.0
12.04,17.8,6.176,445200.0
10.3,17.8,6.021,403200.0
15.37,17.8,5.872,428400.0
13.61,17.8,5.731,405300.0
14.37,19.1,5.87,462000.0
14.27,19.1,6.004,426300.0
17.93,19.1,5.961,430500.0
25.41,19.1,5.856,363300.0
17.58,19.1,5.879,394800.0
14.81,19.1,5.986,449400.0
27.26,19.1,5.613,329700.0
17.19,21.2,5.693,340200.0
15.39,21.2,6.431,378000.0
18.34,21.2,5.637,300300.0
12.6,21.2,6.458,403200.0
12.26,21.2,6.326,411600.0
11.12,21.2,6.372,483000.0
15.03,21.2,5.822,386400.0
17.31,21.2,5.757,327600.0
16.96,21.2,6.335,380100.0
16.9,21.2,5.942,365400.0
14.59,21.2,6.454,359100.0
21.32,21.2,5.857,279300.0
18.46,21.2,6.151,373800.0
24.16,21.2,6.174,294000.0
34.41,21.2,5.019,302400.0
26.82,14.7,5.403,281400.0
26.42,14.7,5.468,327600.0
29.29,14.7,4.903,247800.0
27.8,14.7,6.13,289800.0
16.65,14.7,5.628,327600.0
29.53,14.7,4.926,306600.0
28.32,14.7,5.186,373800.0
21.45,14.7,5.597,323400.0
14.1,14.7,6.122,451500.0
13.28,14.7,5.404,411600.0
12.12,14.7,5.012,321300.0
15.79,14.7,5.709,407400.0
15.12,14.7,6.129,357000.0
15.02,14.7,6.152,327600.0
16.14,14.7,5.272,275100.0
4.59,14.7,6.943,867300.0
6.43,14.7,6.066,510300.0
7.39,14.7,6.51,489300.0
5.5,14.7,6.25,567000.0
11.64,14.7,5.854,476700.0
9.81,14.7,6.101,525000.0
12.14,14.7,5.877,499800.0
11.1,14.7,6.319,499800.0
11.32,14.7,6.402,468300.0
14.43,14.7,5.875,365400.0
12.03,14.7,5.88,401100.0
14.69,16.6,5.572,485100.0
9.04,16.6,6.416,495600.0
9.64,16.6,5.859,474600.0
5.33,16.6,6.546,617400.0
10.11,16.6,6.02,487200.0
6.29,16.6,6.315,516600.0
6.92,16.6,6.86,627900.0
5.04,17.8,6.98,781200.0
7.56,17.8,7.765,835800.0
9.45,17.8,6.144,760200.0
4.82,17.8,7.155,795900.0
5.68,17.8,6.563,682500.0
13.98,17.8,5.604,554400.0
13.15,17.8,6.153,621600.0
6.68,15.2,6.782,672000.0
4.56,15.2,6.556,625800.0
5.39,15.2,7.185,732900.0
5.1,15.2,6.951,777000.0
4.69,15.2,6.739,640500.0
2.87,15.2,7.178,764400.0
5.03,15.6,6.8,653100.0
4.38,15.6,6.604,611100.0
4.08,12.6,7.287,699300.0
8.61,12.6,7.107,636300.0
6.62,12.6,7.274,726600.0
4.56,17.0,6.975,732900.0
4.45,17.0,7.135,690900.0
7.43,14.7,6.162,506100.0
3.11,14.7,7.61,888300.0
3.81,14.7,7.853,1018500.0
10.87,18.6,5.891,474600.0
10.97,18.6,6.326,512400.0
18.06,18.6,5.783,472500.0
14.66,18.6,6.064,512400.0
23.09,18.6,5.344,420000.0
17.27,18.6,5.96,455700.0
23.98,18.6,5.404,405300.0
16.03,18.6,5.807,470400.0
9.38,18.6,6.375,590100.0
29.55,18.6,5.412,497700.0
9.47,18.6,6.182,525000.0
13.51,16.4,5.888,489300.0
9.69,16.4,6.642,602700.0
17.92,16.4,5.951,451500.0
10.5,16.4,6.373,483000.0
9.71,17.4,6.951,560700.0
21.46,17.4,6.164,455700.0
9.93,17.4,6.879,577500.0
7.6,17.4,6.618,632100.0
4.14,17.4,8.266,940800.0
3.13,17.4,8.04,789600.0
6.36,17.4,7.163,663600.0
3.92,17.4,7.686,980700.0
3.76,17.4,6.552,661500.0
11.65,17.4,5.981,510300.0
5.25,17.4,7.412,665700.0
2.47,17.4,8.337,875700.0
3.95,17.4,8.247,1014300.0
8.05,17.4,6.726,609000.0
10.88,17.4,6.086,504000.0
9.54,17.4,6.631,527100.0
4.73,17.4,7.358,661500.0
6.36,16.6,6.481,497700.0
7.37,16.6,6.606,489300.0
11.38,16.6,6.897,462000.0
12.4,16.6,6.095,422100.0
11.22,16.6,6.358,466200.0
5.19,16.6,6.393,497700.0
12.5,19.1,5.593,369600.0
18.46,19.1,5.605,388500.0
9.16,19.1,6.108,510300.0
10.15,19.1,6.226,430500.0
9.52,19.1,6.433,514500.0
6.56,19.1,6.718,550200.0
5.9,19.1,6.487,512400.0
3.59,19.1,6.438,520800.0
3.53,19.1,6.957,621600.0
3.54,19.1,8.259,898800.0
6.57,16.4,6.108,459900.0
9.25,16.4,5.876,438900.0
3.11,15.9,7.454,924000.0
7.79,13.0,7.333,756000.0
6.9,13.0,6.842,632100.0
9.59,13.0,7.203,709800.0
7.26,13.0,7.52,905100.0
5.91,13.0,8.398,1024800.0
11.25,13.0,7.327,651000.0
8.1,13.0,7.206,766500.0
10.45,13.0,5.56,478800.0
14.79,13.0,7.014,644700.0
3.16,13.0,7.47,913500.0
13.65,18.6,5.92,434700.0
13.0,18.6,5.856,443100.0
6.59,18.6,6.24,529200.0
7.73,18.6,6.538,512400.0
6.58,18.6,7.691,739200.0
3.53,17.6,6.758,680400.0
2.98,17.6,6.854,672000.0
6.05,17.6,7.267,697200.0
4.16,17.6,6.826,695100.0
7.19,17.6,6.482,611100.0
4.85,14.9,6.812,737100.0
3.76,14.9,7.82,953400.0
4.59,14.9,6.968,743400.0
3.01,14.9,7.645,966000.0
7.85,15.3,7.088,676200.0
8.23,15.3,6.453,462000.0
12.93,18.2,6.23,422100.0
7.14,16.6,6.209,487200.0
7.6,16.6,6.315,468300.0
9.51,16.6,6.565,520800.0
3.33,19.2,6.861,598500.0
3.56,19.2,7.148,783300.0
4.7,19.2,6.63,585900.0
8.58,16.0,6.127,501900.0
10.4,16.0,6.009,455700.0
6.27,16.0,6.678,600600.0
7.39,16.0,6.549,569100.0
15.84,16.0,5.79,426300.0
4.97,14.8,6.345,472500.0
4.74,14.8,7.041,609000.0
6.07,14.8,6.871,520800.0
9.5,16.1,6.59,462000.0
8.67,16.1,6.495,554400.0
4.86,16.1,6.982,695100.0
6.93,18.4,7.236,758100.0
8.93,18.4,6.616,596400.0
6.47,18.4,7.42,701400.0
7.53,18.4,6.849,592200.0
4.54,18.4,6.635,478800.0
9.97,18.4,5.972,426300.0
12.64,18.4,4.973,338100.0
5.98,18.4,6.122,464100.0
11.72,18.4,6.023,407400.0
7.9,18.4,6.266,453600.0
9.28,18.4,6.567,499800.0
11.5,18.4,5.705,340200.0
18.33,18.4,5.914,373800.0
15.94,18.4,5.782,415800.0
10.36,18.4,6.382,485100.0
12.73,18.4,6.113,441000.0
7.2,19.6,6.426,499800.0
6.87,19.6,6.376,485100.0
7.7,19.6,6.041,428400.0
11.74,19.6,5.708,388500.0
6.12,19.6,6.415,525000.0
5.08,19.6,6.431,516600.0
6.15,19.6,6.312,483000.0
12.79,19.6,6.083,466200.0
9.97,16.9,5.868,405300.0
7.34,16.9,6.333,474600.0
9.09,16.9,6.144,415800.0
12.43,16.9,5.706,359100.0
7.83,16.9,6.031,407400.0
5.68,20.2,6.316,466200.0
6.75,20.2,6.31,434700.0
8.01,20.2,6.037,443100.0
9.8,20.2,5.869,409500.0
10.56,20.2,5.895,388500.0
8.51,20.2,6.059,432600.0
9.74,20.2,5.985,399000.0
9.29,20.2,5.968,392700.0
5.49,15.5,7.241,686700.0
8.65,15.9,6.54,346500.0
7.18,17.6,6.696,501900.0
4.61,17.6,6.874,655200.0
10.53,18.8,6.014,367500.0
12.67,18.8,5.898,361200.0
6.36,17.9,6.516,485100.0
5.99,17.0,6.635,514500.0
5.89,19.7,6.939,558600.0
5.98,19.7,6.49,480900.0
5.49,18.3,6.579,506100.0
7.79,18.3,5.884,390600.0
4.5,17.0,6.728,632100.0
8.05,22.0,5.663,382200.0
5.57,22.0,5.936,432600.0
17.6,20.2,6.212,373800.0
13.27,20.2,6.395,455700.0
11.48,20.2,6.127,476700.0
12.67,20.2,6.112,474600.0
7.79,20.2,6.398,525000.0
14.19,20.2,6.251,417900.0
10.19,20.2,5.362,436800.0
14.64,20.2,5.803,352800.0
7.12,20.2,3.561,577500.0
14.0,20.2,4.963,459900.0
13.33,20.2,3.863,485100.0
34.77,20.2,4.906,289800.0
37.97,20.2,4.138,289800.0
13.44,20.2,7.313,315000.0
23.24,20.2,6.649,291900.0
21.24,20.2,6.794,279300.0
23.69,20.2,6.38,275100.0
21.78,20.2,6.223,214200.0
17.21,20.2,6.968,218400.0
21.08,20.2,6.545,228900.0
23.6,20.2,5.536,237300.0
24.56,20.2,5.52,258300.0
30.63,20.2,4.368,184800.0
30.81,20.2,5.277,151200.0
28.28,20.2,4.652,220500.0
31.99,20.2,5.0,155400.0
30.62,20.2,4.88,214200.0
20.85,20.2,5.39,241500.0
17.11,20.2,5.713,317100.0
18.76,20.2,6.051,487200.0
25.68,20.2,5.036,203700.0
15.17,20.2,6.193,289800.0
16.35,20.2,5.887,266700.0
17.12,20.2,6.471,275100.0
19.37,20.2,6.405,262500.0
19.92,20.2,5.747,178500.0
30.59,20.2,5.453,105000.0
29.97,20.2,5.852,132300.0
26.77,20.2,5.987,117600.0
20.32,20.2,6.343,151200.0
20.31,20.2,6.404,254100.0
19.77,20.2,5.349,174300.0
27.38,20.2,5.531,178500.0
22.98,20.2,5.683,105000.0
23.34,20.2,4.138,249900.0
12.13,20.2,5.608,585900.0
26.4,20.2,5.617,361200.0
19.78,20.2,6.852,577500.0
10.11,20.2,5.757,315000.0
21.22,20.2,6.657,361200.0
34.37,20.2,4.628,375900.0
20.08,20.2,5.155,342300.0
36.98,20.2,4.519,147000.0
29.05,20.2,6.434,151200.0
25.79,20.2,6.782,157500.0
26.64,20.2,5.304,218400.0
20.62,20.2,5.957,184800.0
22.74,20.2,6.824,176400.0
15.02,20.2,6.411,350700.0
15.7,20.2,6.006,298200.0
14.1,20.2,5.648,436800.0
23.29,20.2,6.103,281400.0
17.16,20.2,5.565,245700.0
24.39,20.2,5.896,174300.0
15.69,20.2,5.837,214200.0
14.52,20.2,6.202,228900.0
21.52,20.2,6.193,231000.0
24.08,20.2,6.38,199500.0
17.64,20.2,6.348,304500.0
19.69,20.2,6.833,296100.0
12.03,20.2,6.425,338100.0
16.22,20.2,6.436,300300.0
15.17,20.2,6.208,245700.0
23.27,20.2,6.629,281400.0
18.05,20.2,6.461,201600.0
26.45,20.2,6.152,182700.0
34.02,20.2,5.935,176400.0
22.88,20.2,5.627,268800.0
22.11,20.2,5.818,220500.0
19.52,20.2,6.406,359100.0
16.59,20.2,6.219,386400.0
18.85,20.2,6.485,323400.0
23.79,20.2,5.854,226800.0
23.98,20.2,6.459,247800.0
17.79,20.2,6.341,312900.0
16.44,20.2,6.251,264600.0
18.13,20.2,6.185,296100.0
19.31,20.2,6.417,273000.0
17.44,20.2,6.749,281400.0
17.73,20.2,6.655,319200.0
17.27,20.2,6.297,338100.0
16.74,20.2,7.393,373800.0
18.71,20.2,6.728,312900.0
18.13,20.2,6.525,296100.0
19.01,20.2,5.976,266700.0
16.94,20.2,5.936,283500.0
16.23,20.2,6.301,312900.0
14.7,20.2,6.081,420000.0
16.42,20.2,6.701,344400.0
14.65,20.2,6.376,371700.0
13.99,20.2,6.317,409500.0
10.29,20.2,6.513,424200.0
13.22,20.2,6.209,449400.0
14.13,20.2,5.759,417900.0
17.15,20.2,5.952,399000.0
21.32,20.2,6.003,401100.0
18.13,20.2,5.926,401100.0
14.76,20.2,5.713,422100.0
16.29,20.2,6.167,417900.0
12.87,20.2,6.229,411600.0
14.36,20.2,6.437,487200.0
11.66,20.2,6.98,625800.0
18.14,20.2,5.427,289800.0
24.1,20.2,6.162,279300.0
18.68,20.2,6.484,350700.0
24.91,20.2,5.304,252000.0
18.03,20.2,6.185,306600.0
13.11,20.2,6.229,449400.0
10.74,20.2,6.242,483000.0
7.74,20.2,6.75,497700.0
7.01,20.2,7.061,525000.0
10.42,20.2,5.762,457800.0
13.34,20.2,5.871,432600.0
10.58,20.2,6.312,445200.0
14.98,20.2,6.114,401100.0
11.45,20.2,5.905,432600.0
18.06,20.1,5.454,319200.0
23.97,20.1,5.414,147000.0
29.68,20.1,5.093,170100.0
18.07,20.1,5.983,285600.0
13.35,20.1,5.983,422100.0
12.01,19.2,5.707,457800.0
13.59,19.2,5.926,514500.0
17.6,19.2,5.67,485100.0
21.14,19.2,5.39,413700.0
14.1,19.2,5.794,384300.0
12.92,19.2,6.019,445200.0
15.1,19.2,5.569,367500.0
14.33,19.2,6.027,352800.0
9.67,21.0,6.593,470400.0
9.08,21.0,6.12,432600.0
5.64,21.0,6.976,501900.0
6.48,21.0,6.794,462000.0
7.88,21.0,6.03,249900.0
